metric,db_type,variant_contract,granularity,key,source_object,actual_column,actual_parse_expression,min_date,max_date,total_rows,distinct_dates,parseable_actual_observations,non_parseable_actual_observations,passes_50_actuals,ready_for_p3,caveat,notes
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,CANPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,CHEP278,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,CHLP298,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,DEUP281,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,DNKP307,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,ESPP292,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,EURP107,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,EURP119,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,EURP120,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,FRAP264,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,GBRP123,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,GBRP265,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,GBRP267,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,IDNP305,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,INDP287,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,INDPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,ISRP290,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,ITAP293,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,JPNP286,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,JPNP301,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,JPNPRD01,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,KORP216,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,LAMP152,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,LAMP215,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,LAMPRD80,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,MEXP297,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,MYSP306,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NAMP100,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NAMP101,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NAMP104,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NAMPRD07,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NAMPRD08,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NORP279,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,NZLP299,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,POLP291,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,QATP289,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,SGPP274,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
SSD,Phoenix,"LVWE+LVNE (one observed series, two forecast variants)",Forest,SWEP280,forecast_substrateBE_ssd_phx_lvwe_metrics,Mean_Actual,TRY_CAST(Mean_Actual AS FLOAT),2026-04-13,2026-08-22,131,130,131,0,TRUE,TRUE,"AGGREGATED_WINDOW_ACTUALS: each row is a rolling window of 1-7 days (mean 5.22), not a raw daily point. Mean_Actual is varchar and must be CAST. 15 governed model backtests DO NOT exist yet and must be generated in P5.","Re-measured directly from SQL in P2AQ001, independently of the P2 plan file. 130 distinct End_Date values, zero null Mean_Actual."
