column,type,required,nullable,allowed_values,derivation_rule,source_priority,validation_rule,used_by_shiny,used_by_ranking,used_by_governance,status
source_family,enum,yes,no,"fact|metrics|derived",Registry declaration. fact means a target date exists. metrics means precomputed accuracy per key per version.,registry,forecast_curve_computable may only be true when source_family=fact.,no,no,yes,DEFINED
source_grain,string,yes,no,"key_x_targetdate_x_version|key_x_version_x_window|key_x_version",Registry declaration describing the physical grain.,registry,Must be consistent with source_family.,no,no,yes,DEFINED
unit,string,yes,no,"UNKNOWN plus any verified unit token",Registry declaration. UNKNOWN is the honest default and is never replaced by an assumption.,registry,A single ranking group must resolve to exactly one unit value.,yes,validation,yes,DEFINED
unit_status,enum,yes,no,"verified|provisional|unknown|pending_d5",Registry declaration reflecting whether the unit was confirmed by data engineering.,registry,unit=UNKNOWN requires unit_status in unknown or pending_d5.,yes,no,yes,DEFINED
evaluation_start_date,date,no,yes,ISO date,Copied from Start_Date for metrics sources. Null for fact sources.,source,Required when source_family=metrics.,yes,no,no,DEFINED
evaluation_end_date,date,no,yes,ISO date,Copied from End_Date for metrics sources. Null for fact sources.,source,Required when source_family=metrics and must be greater than or equal to evaluation_start_date.,yes,no,no,DEFINED
execution_date,datetime,no,yes,ISO datetime,Copied from Execution_Date when present.,source,Informational only. Never used as forecast_version.,no,no,yes,DEFINED
count,integer,no,yes,Non negative integer,Copied from the source Count column.,source,Must be greater than or equal to zero when present.,yes,no,no,DEFINED
mean_actual,float,no,yes,Any real,Copied verbatim.,source,Never recomputed by the dashboard.,yes,no,no,DEFINED
mean_forecast,float,no,yes,Any real,Copied verbatim.,source,Never recomputed by the dashboard.,yes,no,no,DEFINED
mae,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,yes,no,DEFINED
rmse,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,yes,no,DEFINED
bias,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,no,no,DEFINED
bias_pct,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,no,no,DEFINED
mape,float,no,yes,Any real,Copied verbatim.,source,Never recomputed. Primary score by governance.,yes,yes,no,DEFINED
smape,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,yes,no,DEFINED
accuracy,float,no,yes,Any real,Copied verbatim.,source,Never recomputed.,yes,yes,no,DEFINED
accuracy_computable,boolean,yes,no,"true|false",True when the source provides or supports point accuracy for the row identity.,derived,Must be true whenever any of mae rmse mape smape or accuracy is populated.,yes,no,yes,DEFINED
drift_computable,boolean,yes,no,"true|false",True only when the identity tuple has two or more distinct forecast_version values available in the same source.,derived,Must be false when the source holds a single forecast_version. Never true for a single version.,yes,no,yes,DEFINED
forecast_curve_computable,boolean,yes,no,"true|false",True only when source_family=fact and a target date column exists.,derived,Must be false for every metrics source.,yes,no,yes,DEFINED
cross_plan_computable,boolean,yes,no,"true|false",True only when two or more comparable forecast_version values exist and the units match.,derived,Must be false when drift_computable is false.,yes,no,yes,DEFINED
horizon_error_computable,boolean,yes,no,"true|false",True only when a target date and overlapping actuals both exist.,derived,Must be false when forecast_curve_computable is false or when actuals do not overlap.,yes,no,yes,DEFINED
computability_status,enum,yes,no,"fully_computable|accuracy_only|single_version_accuracy_only|not_computable|blocked_by_data|blocked_by_mapping|blocked_by_methodology|blocked_by_unit|blocked_by_dashboard_integration",Derived from the five computability booleans using the precedence table in computability_and_availability_contract.md.,derived,Must be reproducible from the booleans. single_version_accuracy_only requires drift_computable=false.,yes,no,yes,DEFINED
not_computable_reason,string,no,yes,Pipe separated codes from the controlled list,Concatenation of every applicable reason code ordered as declared.,derived,Required whenever computability_status is not fully_computable. Only controlled codes are legal.,yes,no,yes,DEFINED
availability_status,enum,yes,no,"local_ingested|partially_available|not_ingested|source_not_found|source_not_updated|deferred|pending_stakeholder_mapping|unknown",Registry declaration reconciled with observed local files.,registry then observation,A row may only exist in the normalized artifact when availability_status is local_ingested or partially_available.,yes,no,yes,DEFINED
evidence_level,enum,yes,no,"VERIFIED_LOCAL|VERIFIED_IN_DOCUMENT|INFERENCE|STAKEHOLDER_STATEMENT",Highest evidence class supporting the row classification.,derived,An INFERENCE may never be presented in the dashboard as a verified fact.,yes,no,yes,DEFINED
data_quality_status,enum,yes,no,"ok|duplicate_suspected|null_metrics|out_of_range|unknown",Result of the checks declared in metric_data_quality_checks.csv.,derived,Rows other than ok must remain visible and flagged rather than dropped.,yes,no,yes,DEFINED
notes,string,no,yes,Free text,Human readable qualifier.,derived,Never used for logic or branching.,no,no,no,DEFINED
contract_version,string,yes,no,"v6.0d",Constant written by the producer stage.,producer,Every normalized row carries the contract version that produced it.,no,no,yes,ADDED_BY_V6_0D
