scope,metric,model_name,rows,negative_count,negative_pct,extreme_count,extreme_pct,not_computable_count,treatment,rationale
BY_METRIC_MODEL,HDD,FNAR-V2,1500,0,0.0,10,0.6667,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,FixedGrowth_1_5,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,FixedGrowth_3,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,FixedGrowth_4,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,FixedGrowth_6,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,LightGBM,1500,60,4.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,LinearRegression,1500,42,2.8,33,2.2,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,NLIN-DLIN_FIXED,1500,0,0.0,14,0.9333,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,SMLP-TCN,1500,0,0.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,Theta,1500,30,2.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,HDD,XGBoost,1500,60,4.0,0,0.0,540,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,ARIMA_Fixed,600,31,5.1667,1,0.1667,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,AutoARIMA,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,ETS Explicit,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,ETS_Current,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,FNAR-V2,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,FixedGrowth_1_5,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,FixedGrowth_3,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,FixedGrowth_4,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,FixedGrowth_6,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,LightGBM,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,LinearRegression,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,NLIN-DLIN_FIXED,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,SMLP-TCN,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,Theta,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,IOPS,XGBoost,600,0,0.0,0,0.0,0,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,ARIMA_Fixed,1500,35,2.3333,1,0.0667,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,AutoARIMA,1500,67,4.4667,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,ETS Explicit,1500,35,2.3333,1,0.0667,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,ETS_Current,1500,56,3.7333,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,FNAR-V2,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,FixedGrowth_1_5,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,FixedGrowth_3,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,FixedGrowth_4,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,FixedGrowth_6,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,LightGBM,1500,30,2.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,LinearRegression,1500,54,3.6,2,0.1333,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,NLIN-DLIN_FIXED,1500,0,0.0,21,1.4,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,SMLP-TCN,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,Theta,1500,30,2.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
BY_METRIC_MODEL,SSD,XGBoost,1500,0,0.0,0,0.0,30,REPORTED_NOT_CLIPPED,"P6B adds no post-hoc clipping. Values are exactly what the governed models emitted, using the identical call path as the P5 backtests, so that Viewer = Forecast parity holds."
