check_id,area,check_name,status,evidence,blocking_for_5_30,created_timestamp
E1,Non-Negative Scoring,Raw official forecasts preserved,PASS,forecast_value column unchanged in scoring file,No,2026-06-13T18:00:00
E2,Non-Negative Scoring,adjusted_forecast_value equals max(forecast_value;0),PASS,0 rows where adjusted differs from clip-at-zero,No,2026-06-13T18:00:00
E3,Non-Negative Scoring,negative_forecast_flag identifies raw negatives,PASS,flag true=306 matches raw<0 exactly,No,2026-06-13T18:00:00
E4,Non-Negative Scoring,Negative forecast rows = 306,PASS,Independent raw negatives = 306,No,2026-06-13T18:00:00
E5,Non-Negative Scoring,Negative adjustment documented,PASS,challenger_negative_forecast_impact.csv + report,No,2026-06-13T18:00:00
E6,Non-Negative Scoring,No raw forecast file overwritten,PASS,Raw retained in both forecasts and scoring files,No,2026-06-13T18:00:00
F1,Aggregation Integrity,Canonical rows = 2724,PASS,Independent count = 2724,No,2026-06-13T18:00:00
F2,Aggregation Integrity,Entity/model aggregation rows = 234,PASS,Independent count = 234 (39 x 6),No,2026-06-13T18:00:00
F3,Aggregation Integrity,Model aggregation rows = 6,PASS,Independent count = 6,No,2026-06-13T18:00:00
F4,Aggregation Integrity,Median across windows per entity then median across entities,PASS,Two-stage reproduction matched all 6 stored official_median_mase,No,2026-06-13T18:00:00
F5,Aggregation Integrity,Equal entity weighting preserved (no window-count dominance),PASS,Stage-1 entity medians give each entity equal weight; verified,No,2026-06-13T18:00:00
F6,Aggregation Integrity,No ranking columns,PASS,Column scan = none,No,2026-06-13T18:00:00
F7,Aggregation Integrity,No best-model/winner/champion language,PASS,Report explicitly diagnostic-only,No,2026-06-13T18:00:00
G1,Significance Integrity,Pairwise comparisons = 15,PASS,Independent count = 15,No,2026-06-13T18:00:00
G2,Significance Integrity,Comparisons use entity-level median MASE,PASS,Report method + matches entity aggregation,No,2026-06-13T18:00:00
G3,Significance Integrity,Comparisons paired by entity_key,PASS,paired_entity_count = 39 for all,No,2026-06-13T18:00:00
G4,Significance Integrity,Bootstrap iterations = 10000,PASS,Report narrative,No,2026-06-13T18:00:00
G5,Significance Integrity,Seed = 20260612,PASS,Report narrative,No,2026-06-13T18:00:00
G6,Significance Integrity,Sign test applied,PASS,sign_test_p_value column + report,No,2026-06-13T18:00:00
G7,Significance Integrity,Benjamini-Hochberg correction across 15 comparisons,PASS,bh_adjusted_p_value column; BH adj p >= raw p verified,No,2026-06-13T18:00:00
G8,Significance Integrity,Practical threshold = 0.02,PASS,practical_threshold unique = [0.02],No,2026-06-13T18:00:00
G9,Significance Integrity,supported/inconclusive are evidence labels not rankings,PASS,12 supported / 3 inconclusive; no ordering,No,2026-06-13T18:00:00
G10,Significance Integrity,No champion/tournament decision made,PASS,summary flags tournament/champion = False,No,2026-06-13T18:00:00
H1,FastNeuralAR_MLP Risk,FastNeuralAR_MLP remains included,PASS,Present in forecasts/metrics/aggregation/significance,No,2026-06-13T18:00:00
H2,FastNeuralAR_MLP Risk,High MASE/RMSSE behavior flagged not hidden,WARNING,challenger_outlier_risk_review.csv flags extremely_high_mase/rmsse (high); see F-014,No,2026-06-13T18:00:00
H3,FastNeuralAR_MLP Risk,Risk review does not silently exclude it,PASS,Retained with eligible_for_tournament_consideration=True,No,2026-06-13T18:00:00
H4,FastNeuralAR_MLP Risk,Error characterized (valid vs implementation vs scale),WARNING,Pattern (huge negative bias / SMAPE~1.48) indicates probable scale/implementation issue; investigate per F-014,No,2026-06-13T18:00:00
I1,Tournament Readiness,challenger_tournament_input_manifest.csv exists,PASS,File present,No,2026-06-13T18:00:00
I2,Tournament Readiness,Manifest contains metadata only,PASS,No score columns,No,2026-06-13T18:00:00
I3,Tournament Readiness,Manifest does not contain tournament scores,PASS,Column scan = none,No,2026-06-13T18:00:00
I4,Tournament Readiness,Manifest does not rank models,PASS,No numeric ordering / rank column,No,2026-06-13T18:00:00
I5,Tournament Readiness,Manifest includes the 6 final challengers,PASS,6 challenger rows,No,2026-06-13T18:00:00
I6,Tournament Readiness,Suitable as 5.30 input after audit approval,PASS,Metadata-only eligibility manifest,No,2026-06-13T18:00:00
J1,Scope / Safety,No rankings created,PASS,rankings_created=False across summaries,No,2026-06-13T18:00:00
J2,Scope / Safety,No tournament outputs created,PASS,tournament_created=False; no tournament files,No,2026-06-13T18:00:00
J3,Scope / Safety,No winners created,PASS,No winner artifacts/columns,No,2026-06-13T18:00:00
J4,Scope / Safety,No champions selected,PASS,champion_selected=False across summaries,No,2026-06-13T18:00:00
J5,Scope / Safety,Baseline outputs untouched,PASS,No writes to baseline dirs; audit confined to audit_4,No,2026-06-13T18:00:00
J6,Scope / Safety,Shiny untouched,PASS,No shiny_app modifications,No,2026-06-13T18:00:00
J7,Scope / Safety,Metrics not written outside challenger_metrics,PASS,Metric artifacts only under challenger_metrics,No,2026-06-13T18:00:00
J8,Scope / Safety,Aggregation/significance not written outside its dir,PASS,Artifacts only under challenger_aggregation_significance,No,2026-06-13T18:00:00
