query_id,metric,object_name,purpose,query_type,started_at,status,row_count_returned,duration_seconds,notes
Q011,IOPS,vw_SubstrateBE_Demand_Iops_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,15.69,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q012,IOPS,vw_SubstrateBE_Demand_Iops_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,2,4.1,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q013,MEMORY,vw_SubstrateBE_Demand_Memory_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,0,0.18,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q014,MEMORY,vw_SubstrateBE_Demand_Memory_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,0,0.18,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q015,SSD,vw_SubstrateBE_Demand_Ssd_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,28.88,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q016,SSD,vw_SubstrateBE_Demand_Ssd_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,2,11.82,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q017,SSD,vw_SubstrateBE_Demand_SsdPhoenix_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,11.9,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q018,SSD,vw_SubstrateBE_Demand_SsdPhoenix_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,2,4.93,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q019,ALL,sys.dm_db_partition_stats,Catalogue row counts for all user tables,metadata,RECONSTRUCTED,FAILED,0,10.0,"Insufficient permission on sys.dm_db_partition_stats; replaced by sys.partitions in Q021. Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q020,ALL,INFORMATION_SCHEMA.COLUMNS,Column signatures for forecast_substrateBE_* tables,metadata,RECONSTRUCTED,OK,424,0.43,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q021,ALL,sys.partitions,Catalogue row counts via sys.partitions (fallback after Q019 failed),metadata,RECONSTRUCTED,OK,901,9.53,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q022,HDD,forecast_substrateBE_hdd_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,1.81,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q023,CPU,forecast_substrateBE_cpu_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,1.65,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q024,CPU,forecast_substrateBE_cpu_actual_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,0.91,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q025,IOPS,forecast_substrateBE_iops_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,1.1,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q026,IOPS,forecast_substrateBE_iops_actual_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,0.72,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q027,SSD,forecast_substrateBE_ssd_region,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,OK,1,0.96,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q028,SSD,forecast_substrateBE_SSD_Phoenix_Organic,ValueType split with date range and distinct key count,aggregate,RECONSTRUCTED,FAILED,0,1.36,"Table keys on Forest, not Key; retried correctly as Q051. Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q029,HDD,forecast_substrateBE_hdd_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,11.32,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q030,HDD,forecast_substrateBE_hdd_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,3,1.09,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q031,HDD,forecast_substrateBE_hdd_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,194,2.06,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q032,CPU,forecast_substrateBE_cpu_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,1.25,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q033,CPU,forecast_substrateBE_cpu_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,1.1,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q034,CPU,forecast_substrateBE_cpu_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,30,1.16,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q035,CPU,forecast_substrateBE_cpu_actual_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.69,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q036,CPU,forecast_substrateBE_cpu_actual_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,0.66,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q037,CPU,forecast_substrateBE_cpu_actual_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.74,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q038,IOPS,forecast_substrateBE_iops_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,1.21,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q039,IOPS,forecast_substrateBE_iops_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,0.89,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q040,IOPS,forecast_substrateBE_iops_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,89,1.05,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q041,IOPS,forecast_substrateBE_iops_actual_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.78,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q042,IOPS,forecast_substrateBE_iops_actual_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,2,0.69,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q043,IOPS,forecast_substrateBE_iops_actual_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.7,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q044,SSD,forecast_substrateBE_ssd_region,Type vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.92,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q045,SSD,forecast_substrateBE_ssd_region,Scenario vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.7,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q046,SSD,forecast_substrateBE_ssd_region,ModelVersion vocabulary with row count and date range,vocabulary,RECONSTRUCTED,OK,1,0.73,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q047,CPU,forecast_substrateBE_cpu_region,Probe for an 'actual' ModelVersion marker,aggregate,RECONSTRUCTED,OK,0,10.8,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q048,IOPS,forecast_substrateBE_iops_region,Probe for an 'actual' ModelVersion marker,aggregate,RECONSTRUCTED,OK,0,0.88,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q049,SSD,forecast_substrateBE_ssd_region,Probe for an 'actual' ModelVersion marker,aggregate,RECONSTRUCTED,OK,0,0.71,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q050,SSD,forecast_substrateBE_SSD_Phoenix_Organic,Column signature,metadata,RECONSTRUCTED,OK,11,0.32,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q051,SSD,forecast_substrateBE_SSD_Phoenix_Organic,ModelVersion vocabulary,vocabulary,RECONSTRUCTED,OK,1,0.95,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q052,SSD,forecast_substrateBE_SSD_TotalForecast,Column signature,metadata,RECONSTRUCTED,OK,11,0.32,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q053,SSD,DemandPlan_SubstrateBE_SSD_Demand_Region_History,Column signature,metadata,RECONSTRUCTED,OK,5,0.33,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q054,SSD,DemandPlan_SubstrateBE_SSD_Demand_Region_History,Row count and date range,aggregate,RECONSTRUCTED,OK,1,5.55,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q055,MEMORY,vw_SubstrateBE_MemoryRawData,Column signature,metadata,RECONSTRUCTED,OK,7,0.32,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q056,MEMORY,vw_SubstrateBE_MemoryRawData,Row count,aggregate,RECONSTRUCTED,OK,1,13.61,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q057,MEMORY,vw_SubstrateBE_Demand_Memory_Region,Column signature,metadata,RECONSTRUCTED,OK,10,0.33,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q058,MEMORY,vw_SubstrateBE_Demand_Memory_Region,Row count,aggregate,RECONSTRUCTED,OK,1,0.18,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q059,MEMORY,vw_SubstrateBE_Demand_Memory_Forest,Column signature,metadata,RECONSTRUCTED,OK,9,0.31,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q060,MEMORY,vw_SubstrateBE_Demand_Memory_Forest,Row count,aggregate,RECONSTRUCTED,OK,1,0.17,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q061,HDD,forecast_substrateBE_hdd_region,Route x key combinations and how many exceed 50 real observations,aggregate,RECONSTRUCTED,OK,3,9.6,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q062,CPU,forecast_substrateBE_cpu_actual_region,Route x key combinations and how many exceed 50 real observations,aggregate,RECONSTRUCTED,OK,2,1.17,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q063,IOPS,forecast_substrateBE_iops_actual_region,Route x key combinations and how many exceed 50 real observations,aggregate,RECONSTRUCTED,OK,2,1.13,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q064,HDD,forecast_substrateBE_hdd,data_type/type vocabulary to locate Forest-level actuals,vocabulary,RECONSTRUCTED,OK,234,14.1,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q065,CPU,forecast_substrateBE_cpu,type vocabulary to locate Forest-level actuals,vocabulary,RECONSTRUCTED,OK,201,1.4,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q066,IOPS,forecast_substrateBE_iops,type vocabulary to locate Forest-level actuals,vocabulary,RECONSTRUCTED,OK,126,1.05,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q067,CPU,forecast_substrateBE_cpu,Direct probe for Forest-level actual marker,aggregate,RECONSTRUCTED,OK,0,17.25,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q068,IOPS,forecast_substrateBE_iops,Direct probe for Forest-level actual marker,aggregate,RECONSTRUCTED,OK,0,2.07,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q069,CPU,forecast_substrateBE_cpu_byDB_forest,Direct probe for Forest-level actual marker,aggregate,RECONSTRUCTED,FAILED,0,0.56,"Assumed ModelVersion column does not exist on this table. Unresolved, logged as UQ05. Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q070,HDD,forecast_substrateBE_hdd,Forest combinations over 50 real observations,aggregate,RECONSTRUCTED,OK,3,2.71,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q071,SSD,sys.partitions,Row counts for SSD tables before any scan,metadata,2026-08-23T11:07:34,OK,55,0.31, | P1B SSD correction sweep.
Q072,SSD,forecast_substrateBE_ssd_phx_lvwe_metrics,Coverage of the accuracy metrics table,aggregate,2026-08-23T11:08:10,OK,1,10.49, | P1B SSD correction sweep.
Q073,SSD,forecast_substrateBE_ssd_phx_lvwe_metrics,Key vocabulary with observation counts,vocabulary,2026-08-23T11:08:21,OK,15,0.91, | P1B SSD correction sweep.
Q074,SSD,forecast_substrateBE_ssd_phx_lvne_metrics,Coverage of the accuracy metrics table,aggregate,2026-08-23T11:08:22,OK,1,0.38, | P1B SSD correction sweep.
Q075,SSD,forecast_substrateBE_ssd_phx_lvne_metrics,Key vocabulary with observation counts,vocabulary,2026-08-23T11:08:22,OK,15,0.9, | P1B SSD correction sweep.
Q076,SSD,forecast_staging_agent_SSD,type vocabulary: hunting a row-level actual marker,vocabulary,2026-08-23T11:08:23,OK,0,0.7, | P1B SSD correction sweep.
Q077,SSD,SubstrateBE_SSD_Demand_History,Column signature,metadata,2026-08-23T11:08:24,OK,7,0.33, | P1B SSD correction sweep.
Q078,SSD,forecast_substrateBE_ssd_phx_lvwe_metrics,Sample NAMPRD08 to verify Mean_Actual against the owner's dashboard,sample,2026-08-23T11:38:22,OK,8,4.72, | P1B SSD correction sweep.
Q079,SSD,forecast_substrateBE_ssd_phx_lvwe_metrics,Keys with more than 50 non-null Mean_Actual observations,aggregate,2026-08-23T11:38:27,OK,1,1.02, | P1B SSD correction sweep.
Q080,SSD,forecast_substrateBE_ssd_phx_lvne_metrics,Keys with more than 50 non-null Mean_Actual observations,aggregate,2026-08-23T11:38:28,OK,1,0.99, | P1B SSD correction sweep.
Q081,SSD,SubstrateBE_SSD_Demand_History,Coverage of the SSD demand history table,aggregate,2026-08-23T11:38:29,OK,1,2.26, | P1B SSD correction sweep.
Q082,SSD,SubstrateBE_SSD_Demand_History,Forest combinations with more than 50 demand observations,aggregate,2026-08-23T11:38:31,OK,1,1.26, | P1B SSD correction sweep.
Q083,SSD,Greenland_SSD_HDD_Forest_Daily_Raw,Column signature for raw daily candidate,metadata,2026-08-23T11:39:00,OK,6,4.52, | P1B SSD correction sweep.
Q084,SSD,vw_SubstrateBE_SSD_PhoenixDB_Demand_Supply_Region,Column signature for raw daily candidate,metadata,2026-08-23T11:39:04,OK,5,0.32, | P1B SSD correction sweep.
Q085,SSD,vw_SubstrateBE_ssd_PhoenixDB_Region_Efficiencys,Column signature for raw daily candidate,metadata,2026-08-23T11:39:05,OK,13,0.33, | P1B SSD correction sweep.
Q086,SSD,Greenland_SSD_HDD_Forest_Daily_Raw,Region x Forest combinations with more than 50 daily SSD observations,aggregate,2026-08-23T11:39:22,OK,1,5.22, | P1B SSD correction sweep.
Q087,SSD,vw_SubstrateBE_SSD_PhoenixDB_Demand_Supply_Region,Region x Environment combinations with more than 50 daily demand observations,aggregate,2026-08-23T11:39:27,OK,1,19.27, | P1B SSD correction sweep.
